PropType,Taxkey,Address,CondoProject,District,Nbhd,Style,Extwall,Stories,Year_Built,Nr_of_rms,Fin_sqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
Commercial,1920378000,3430 W VILLARD AV,,1,6232,"Store Building - Single tenant, 1 story",,1,1964,0,2314,1,0,0,0,4560,2008-02,95000
Commercial,331262000,8700 W BROWN DEER RD,,9,6202,Strip Shopping Center,,1,1979,0,11500,1,0,0,0,44000,2008-02,650000
Vacant Land,3560287000,2034 E IVANHOE PL,,3,6417,Commercial Land,,3,1963,0,8541,1,0,0,0,8881,2008-02,1325000
Commercial,1920836100,3541 W VILLARD AV,,1,6232,Beer Depot & Liquor Store,,1,1959,0,2827,1,0,0,0,7560,2008-03,77300
Commercial,3280305000,4929 W CENTER ST,,15,6250,Church,,2,1939,0,2400,1,0,0,0,3600,2008-03,100000
Commercial,4660602000,2153 S KINNICKINNIC AV,,14,6282,Cottage,,1.5,1908,0,1258,1,0,0,0,3648,2008-03,187000
Commercial,4270425000,1102 W BRUCE ST,,12,6276,Multi Story Warehouse,,2,1923,0,12433,1,0,0,0,65340,2008-03,477000
Commercial,2080632110,4962 N HOPKINS ST,,1,6232,Not Listed (Exm or Mfg),,0,0,0,0,1,0,0,0,7950,2008-03,225000
Commercial,770091100,11200 W PARKLAND AV,,5,6453,Office Building - Multi Story ( Ofc & Apt),,3,1990,0,240675,1,0,0,0,788775,2008-03,23600000
Commercial,5360117000,3170 S 13TH ST,,14,6284,Service Building,,1,1916,0,1200,1,0,0,0,7320,2008-03,115000
Commercial,1920336000,5235 N 35TH ST,,1,6232,"Store Bldg - Multi Story (Store & Apt, Store & O",,3,1929,0,11353,1,0,0,0,7200,2008-03,275000
Commercial,2640012100,3942 N 76TH ST,,10,6226,"Store Bldg - Multi Story (Store & Apt, Store & O",,1,1957,0,10000,1,0,0,0,14400,2008-03,420000
Commercial,4611470000,720 W HISTORIC MITCHELL ST,,12,6280,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1897,0,5718,1,0,0,0,3060,2008-03,200000
Commercial,3140035000,830 E CENTER ST,,3,6260,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1915,0,5158,1,0,0,0,3600,2008-03,195000
Commercial,2711619000,3544 N TEUTONIA AV,,6,6240,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1924,0,3310,1,0,0,0,2844,2008-03,60000
Commercial,3601584000,1320 N JACKSON ST,,4,6264,"Store Building - Single tenant, 1 story",,0,0,0,0,1,0,0,0,1020,2008-03,160000
Commercial,4340060100,2037 W NATIONAL AV,,8,6277,Tavern,,2,1896,0,4958,1,0,0,0,4429,2008-03,240000
Commercial,2070690000,4934 N 29TH ST,,1,6232,Warehouse Building - 1 Story,,1,1945,0,4350,1,0,0,0,4385,2008-03,96000
Vacant Land,3260501121,3010 W MEINECKE AV,,15,6242,Commercial Land,,0,0,0,0,1,0,0,0,32652,2008-03,9500
Lg Apartment,3590189111,1410 N FARWELL AV,"2: 1-Br ,3: 1-Br ,6: 2-Br ,18: 2-Br ,6: 2-Br ,6:",3,6974,"Apartment: 2: 1-Br ,3: 1-Br ,6: 2-Br ,18: 2-Br ,",,3,2000,0,45813,1,0,0,0,29836,2008-04,7000000
Commercial,3060633110,5812 W LISBON AV,,10,6440,Fast Food Operation,,1,1984,0,2318,1,0,0,0,37370,2008-04,250000
Commercial,4702614000,2630 W LINCOLN AV,,8,6283,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1927,0,2392,1,0,0,0,2640,2008-04,131500
Commercial,4960640000,1567 W LINCOLN AV,,12,6281,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1905,0,2290,1,0,0,0,3600,2008-04,113200
Commercial,3030521000,7725 W BURLEIGH ST,,5,6226,"Store Building - Single tenant, 1 story",,1,1957,0,9560,1,0,0,0,10440,2008-04,367500
Commercial,3600346000,1664 N VAN BUREN ST,,3,6264,"Store Building - Single tenant, 1 story",,1,1958,0,3292,1,0,0,0,4800,2008-04,345000
Commercial,6709999110,1313 W GRANGE AV,,13,6418,Svs Station w Conv Store,,1,1962,0,1288,1,0,0,0,13180,2008-04,630000
Commercial,4690904000,1900 W LINCOLN AV,,12,6281,Tavern,,2,1905,0,3400,1,0,0,0,3000,2008-04,180000
